Fecha,Total,Realizados,PorcentajeRealizados,Porcentaje_Tasa_Base
2025-04-01,97,86,88.7,96.7
2025-04-02,96,86,89.6,97.7
2025-04-03,100,87,87.0,94.8
2025-04-04,97,89,91.8,91.8
2025-04-05,73,70,95.9,95.9
2025-04-06,49,49,100.0,100.0
2025-04-07,99,94,94.9,94.9
2025-04-08,107,94,87.9,95.8
2025-04-09,101,86,85.1,92.8
2025-04-10,101,79,78.2,85.2
2025-04-11,107,90,84.1,91.7
2025-04-12,75,71,94.7,94.7
2025-04-13,55,50,90.9,90.9
2025-04-14,98,81,82.7,90.1
2025-04-15,84,75,89.3,97.3
2025-04-16,77,66,85.7,93.4
2025-04-17,25,24,96.0,96.0
2025-04-18,38,36,94.7,94.7
2025-04-19,45,43,95.6,95.6
2025-04-20,26,25,96.2,96.2
2025-04-21,27,27,100.0,100.0
2025-04-22,37,32,86.5,94.3
2025-04-23,30,27,90.0,90.0
2025-04-24,33,33,100.0,100.0
2025-04-25,43,41,95.3,95.3
2025-04-26,56,53,94.6,94.6
2025-04-27,35,35,100.0,100.0
2025-04-28,28,27,96.4,96.4
2025-04-29,34,32,94.1,94.1
2025-04-30,74,58,78.4,85.5
2025-05-01,23,22,95.7,95.7
2025-05-02,36,36,100.0,100.0
2025-05-03,48,46,95.8,95.8
2025-05-04,30,26,86.7,94.5
2025-05-05,94,76,80.9,88.2
2025-05-06,103,86,83.5,91.0
2025-05-07,92,76,82.6,90.0
2025-05-08,96,81,84.4,92.0
2025-05-09,112,93,83.0,90.5
2025-05-10,73,68,93.2,93.2
2025-05-11,44,42,95.5,95.5
2025-05-12,99,84,84.8,92.4
2025-05-13,106,86,81.1,88.4
2025-05-14,96,81,84.4,92.0
2025-05-15,89,80,89.9,98.0
2025-05-16,109,99,90.8,90.8
2025-05-17,91,90,98.9,98.9
2025-05-18,59,57,96.6,96.6
2025-05-19,94,79,84.0,91.6
2025-05-20,116,98,84.5,92.1
2025-05-21,113,98,86.7,94.5
2025-05-22,101,89,88.1,96.0
2025-05-23,104,91,87.5,95.4
2025-05-24,71,69,97.2,97.2
2025-05-25,47,41,87.2,95.0
2025-05-26,78,67,85.9,93.6
2025-05-27,78,73,93.6,93.6
2025-05-28,66,61,92.4,92.4
2025-05-29,74,61,82.4,89.8
2025-05-30,82,69,84.1,91.7
2025-05-31,71,68,95.8,95.8
2025-06-01,48,44,91.7,91.7
2025-06-02,53,42,79.2,86.3
2025-06-03,65,58,89.2,97.2
2025-06-04,90,78,86.7,94.5
2025-06-05,81,73,90.1,90.1
2025-06-06,90,83,92.2,92.2
2025-06-07,65,63,96.9,96.9
2025-06-08,51,50,98.0,98.0
2025-06-09,92,80,87.0,94.8
2025-06-10,97,92,94.8,94.8
2025-06-11,95,80,84.2,91.8
2025-06-12,94,81,86.2,94.0
2025-06-13,122,109,89.3,97.3
2025-06-14,98,84,85.7,93.4
2025-06-15,72,65,90.3,90.3
2025-06-16,88,80,90.9,90.9
2025-06-17,94,86,91.5,91.5
2025-06-18,88,80,90.9,90.9
2025-06-19,52,50,96.2,96.2
2025-06-20,72,67,93.1,93.1
2025-06-21,80,74,92.5,92.5
2025-06-22,62,52,83.9,91.5
2025-06-23,32,32,100.0,100.0
2025-06-24,66,57,86.4,94.2
2025-06-25,56,51,91.1,91.1
2025-06-26,60,57,95.0,95.0
2025-06-27,81,78,96.3,96.3
2025-06-28,86,79,91.9,91.9
2025-06-29,55,52,94.5,94.5
2025-06-30,23,23,100.0,100.0
